,latitude_1,longitude_1,altitude_relative_to_ground_1,latitude_2,longitude_2,altitude_relative_to_ground_2,latitude_3,longitude_3,altitude_relative_to_ground_3,latitude_4,longitude_4,altitude_relative_to_ground_4,latitude_5,longitude_5,altitude_relative_to_ground_5,latitude_6,longitude_6,altitude_relative_to_ground_6,latitude_7,longitude_7,altitude_relative_to_ground_7,latitude_8,longitude_8,altitude_relative_to_ground_8,latitude_9,longitude_9,altitude_relative_to_ground_9,latitude_10,longitude_10,altitude_relative_to_ground_10,latitude_11,longitude_11,altitude_relative_to_ground_11,latitude_12,longitude_12,altitude_relative_to_ground_12,latitude_13,longitude_13,altitude_relative_to_ground_13,latitude_14,longitude_14,altitude_relative_to_ground_14,latitude_15,longitude_15,altitude_relative_to_ground_15,latitude_16,longitude_16,altitude_relative_to_ground_16,latitude_17,longitude_17,altitude_relative_to_ground_17,latitude_18,longitude_18,altitude_relative_to_ground_18,latitude_19,longitude_19,altitude_relative_to_ground_19,latitude_20,longitude_20,altitude_relative_to_ground_20,enter-parking
10_A.xml,36.11119992326247,-115.1416541414109,0.0,36.11120586456983,-115.1415539750677,0.0,36.1112109660866,-115.1414002720483,0.0,36.11121096703754,-115.1412812062101,0.0,36.11121096798771,-115.1411498233898,0.0,36.11121426536978,-115.1409775690743,0.0,36.11122087450902,-115.1408585881381,0.0,36.11111519963539,-115.140833124229,0.0,36.11101357973648,-115.1408598999737,0.0,36.110905033843,-115.1408444079849,0.0,36.11080842018291,-115.1408359849683,0.0,36.11073681832075,-115.1408789289873,0.0,36.11065688023061,-115.140890190147,0.0,36.11057856316597,-115.1409028998453,0.0,36.11052039325235,-115.1408316324643,0.0,36.1105333296647,-115.1407454725339,0.0,36.11053910730816,-115.1406954483572,0.0,36.11052900833372,-115.1406514473553,0.0,36.11055508571852,-115.1405503410323,0.0,36.1106294173743,-115.1405209703845,0.0,1
10_A_Missed.xml,36.10969929464272,-115.1406357188195,0.0,36.10975576797164,-115.1406600635799,0.0,36.10979535111534,-115.140685416138,0.0,36.10984450026955,-115.1407235361787,0.0,36.10990385466075,-115.1407776349884,0.0,36.10995554266773,-115.1408280529066,0.0,36.11002518494541,-115.1408497588918,0.0,36.11008963437929,-115.1408605097807,0.0,36.11016358159311,-115.1408177882243,0.0,36.11024127534105,-115.1407833560539,0.0,36.11033252896918,-115.1407545722287,0.0,36.11042737632566,-115.1407218245589,0.0,36.11049368481346,-115.1407648645009,0.0,36.11052751541684,-115.1408539699339,0.0,36.11063027963793,-115.1408955889007,0.0,36.11071016132468,-115.1408736874446,0.0,36.1107827464004,-115.1408619991992,0.0,36.11088104424041,-115.1408358989773,0.0,36.11099544564994,-115.1408512560067,0.0,36.11115954546281,-115.1408596842845,0.0,0
10_B.xml,36.11069238280298,-115.1410138451003,0.0,36.11065793090691,-115.1409860483227,0.0,36.11062679876979,-115.1409516579664,0.0,36.1105872188808,-115.1409321981088,0.0,36.11054094858405,-115.1409188423373,0.0,36.11050101889071,-115.1408595123983,0.0,36.11050953105451,-115.1407767392135,0.0,36.11052805590899,-115.1407060386717,0.0,36.11053664287755,-115.1406316354835,0.0,36.11054381656638,-115.140538877568,0.0,36.11054669001697,-115.1404407893646,0.0,36.11056399207443,-115.1403594714465,0.0,36.11056688433919,-115.1402729667588,0.0,36.11056254462209,-115.1401841225359,0.0,36.11057267693694,-115.1401057145533,0.0,36.11057702856676,-115.1399905754172,0.0,36.11057847911676,-115.1398300882421,0.0,36.11059449783492,-115.1397149968356,0.0,36.11063269062871,-115.1396358966029,0.0,36.11066686771677,-115.1396669204195,0.0,1
10_B_Missed.xml,36.11044845386514,-115.1392558261439,0.0,36.11041894304549,-115.1392643072063,0.0,36.11038007253905,-115.1392721797365,0.0,36.11033359098085,-115.1392710802167,0.0,36.110282550584,-115.1392752648892,0.0,36.11021811143012,-115.1392716991216,0.0,36.1101589835532,-115.1392629973277,0.0,36.11009989098123,-115.1392544174832,0.0,36.11005795060301,-115.1392548455588,0.0,36.11001185617626,-115.1392563255441,0.0,36.10995712971499,-115.1392533389471,0.0,36.10992554068891,-115.1392503168155,0.0,36.10988402028239,-115.1392454860677,0.0,36.1098567124821,-115.139238893502,0.0,36.10982969701853,-115.1392349193699,0.0,36.10978971188758,-115.1392227185161,0.0,36.10975252880801,-115.139190745957,0.0,36.10973953779983,-115.1391438841272,0.0,36.10970842256813,-115.1391117237903,0.0,36.10965047691418,-115.1391002489508,0.0,0
11_A.xml,36.10969453955114,-115.1408623231164,0.0,36.1097476667513,-115.1408706560918,0.0,36.10980797639419,-115.1408776732351,0.0,36.10986422614919,-115.140874080837,0.0,36.10992408098144,-115.1408681789964,0.0,36.10999405769778,-115.1408786493569,0.0,36.11004488302418,-115.1408836691688,0.0,36.11012789503808,-115.1408960400605,0.0,36.11018656709453,-115.1408967726318,0.0,36.11024213971759,-115.140891434987,0.0,36.11030876076025,-115.1408736030834,0.0,36.11035757050215,-115.1408359750187,0.0,36.11039486952378,-115.1407960376115,0.0,36.11044299104767,-115.1407593891075,0.0,36.11046872108692,-115.140713932533,0.0,36.11048950932848,-115.1406503908297,0.0,36.11051839392005,-115.140609817116,0.0,36.11056104218645,-115.1405464874431,0.0,36.11059899021687,-115.1405226073119,0.0,36.11063754172083,-115.140527766168,0.0,1
11_A_Missed.xml,36.10966733975352,-115.1409308653812,0.0,36.10969389255513,-115.1408955014036,0.0,36.10974190221023,-115.1408589057905,0.0,36.10981905103311,-115.1408740459498,0.0,36.1098741307964,-115.140870229474,0.0,36.10994378966855,-115.1408680221568,0.0,36.11002244600667,-115.1408845668252,0.0,36.11009672524007,-115.1408603671939,0.0,36.11016366023149,-115.140814455669,0.0,36.11024122755478,-115.1407869138645,0.0,36.11029944305868,-115.1407672130752,0.0,36.11036692367425,-115.1407367793339,0.0,36.11045251657686,-115.1407418731813,0.0,36.11050888399744,-115.1407767429216,0.0,36.11058789389151,-115.14081745985,0.0,36.1106782090065,-115.1408326576477,0.0,36.1107701256709,-115.1408096036411,0.0,36.1108747687688,-115.1407911741566,0.0,36.11099509266168,-115.1408086172979,0.0,36.11110341980482,-115.1408094163725,0.0,0
11_B.xml,36.11012230675771,-115.1391687984221,0.0,36.11011961739798,-115.1392047529381,0.0,36.11013039194474,-115.1392256364511,0.0,36.11015069823299,-115.1392428627643,0.0,36.11018072938843,-115.1392593934413,0.0,36.11021799580785,-115.1392692343199,0.0,36.1102557221019,-115.1392791966777,0.0,36.11029819003659,-115.1392925586386,0.0,36.1103297079439,-115.1393157245914,0.0,36.11039812739659,-115.1393329157413,0.0,36.11043662651578,-115.1393480220641,0.0,36.11048314965847,-115.1393838257084,0.0,36.11050895391151,-115.1394151892092,0.0,36.11053958021386,-115.139441056083,0.0,36.11055809712489,-115.1394628917418,0.0,36.11057205498954,-115.1394890539122,0.0,36.1105923231536,-115.1395190845339,0.0,36.11061271899086,-115.1395602394787,0.0,36.11063324339527,-115.1396016539843,0.0,36.11066507313381,-115.1396494064376,0.0,1
11_B_Missed.xml,36.1095947900742,-115.1390897970451,0.0,36.10962894761266,-115.1390955555528,0.0,36.10966451407255,-115.1391057296137,0.0,36.10972477768388,-115.1391248487098,0.0,36.10976647426332,-115.1391620225588,0.0,36.1097820787493,-115.1391871206143,0.0,36.10980987803587,-115.1391955242794,0.0,36.10983612977905,-115.1392083549034,0.0,36.10986459032354,-115.1392169885299,0.0,36.10989436864746,-115.1392291758411,0.0,36.1099137830374,-115.1392282919119,0.0,36.10993630892501,-115.1392264708066,0.0,36.1099560721678,-115.1392324148922,0.0,36.10997600086488,-115.1392429926852,0.0,36.11000013675599,-115.1392505054371,0.0,36.11002349682293,-115.1392614899312,0.0,36.11004708518342,-115.1392737448306,0.0,36.11006882447349,-115.1392988040919,0.0,36.11008133433647,-115.1393408326254,0.0,36.11008656541445,-115.1393882092039,0.0,0
12_A.xml,36.10971043688343,-115.1401668264193,0.0,36.10970986876598,-115.1402412988535,0.0,36.109726037553,-115.1403084228079,0.0,36.10976606811008,-115.1403499862731,0.0,36.10983948366739,-115.1403583643619,0.0,36.10992518121894,-115.1403840533208,0.0,36.10999398799232,-115.1404026665482,0.0,36.11004655171462,-115.1404312726949,0.0,36.11010368297276,-115.1404754673355,0.0,36.11015727142415,-115.14051846783,0.0,36.11021642706179,-115.1405826696207,0.0,36.1102431850386,-115.140637304656,0.0,36.11029968909873,-115.1406970059031,0.0,36.11038291173091,-115.1407319182945,0.0,36.11042722245211,-115.1407326216809,0.0,36.11046767644473,-115.140694994036,0.0,36.11050523673717,-115.140651924101,0.0,36.11055029525546,-115.1405968158484,0.0,36.1105761160801,-115.1405262518795,0.0,36.11062510259116,-115.1405200720073,0.0,1
12_A_Missed.xml,36.10967419344652,-115.1412906954211,0.0,36.10967615543397,-115.1412150832707,0.0,36.10968402103171,-115.1411334306048,0.0,36.10968500607922,-115.1410228627019,0.0,36.10968796420241,-115.1409518631605,0.0,36.10972879647933,-115.1408716021889,0.0,36.1098002922708,-115.1408642045011,0.0,36.10987734935714,-115.1408656793407,0.0,36.10995042897265,-115.1408663514436,0.0,36.11001104686525,-115.1408792447404,0.0,36.11007443127365,-115.1408887406529,0.0,36.11011684983086,-115.1409321743667,0.0,36.11016972796604,-115.1409460571392,0.0,36.11022253664852,-115.1409654206105,0.0,36.11028285351048,-115.1409996523573,0.0,36.11036561024932,-115.1410200252773,0.0,36.11046205530235,-115.1410104769995,0.0,36.1105186319413,-115.1409406548818,0.0,36.11061524811533,-115.1409270958405,0.0,36.11068117481187,-115.1410068454246,0.0,0
