,latitude,longitude,altitude_relative_to_ground
0,36.10972852588655,-115.1400745116967,0
1,36.10972252748743,-115.1401632896287,0
2,36.10971818534868,-115.1403084944756,0
3,36.10971738105888,-115.1403406760727,0
4,36.10981346999233,-115.1403581560111,0
5,36.10991939903571,-115.1403829883907,0
6,36.11000808880875,-115.1404023123875,0
7,36.11008505760896,-115.1404625948645,0
8,36.11018105845384,-115.1405312857438,0
9,36.11024139763125,-115.1406309800652,0
10,36.11032333062744,-115.140701206292,0
11,36.11041959340945,-115.1407360834717,0
12,36.11044452229386,-115.1406366117644,0
13,36.11051093143578,-115.1406343037884,0
14,36.11055020189343,-115.1405544742707,0
15,36.11058499315192,-115.1405172928676,0
16,36.11062821086171,-115.1405265998222,0
