,latitude,longitude,altitude_relative_to_ground
0,36.10969375516876,-115.1415340255799,0
1,36.10977003642185,-115.1415528755218,0
2,36.10985548059474,-115.1415718399846,0
3,36.1098915611288,-115.1415115259678,0
4,36.11001040319049,-115.1414238469186,0
5,36.11007147865726,-115.1413789586897,0
6,36.11017130217783,-115.1412697431054,0
7,36.11019467543563,-115.1410872565392,0
8,36.11028838743661,-115.1410743319124,0
9,36.11038637933088,-115.1410660945216,0
10,36.11046219641887,-115.1410407934058,0
11,36.1104701893133,-115.1409718255361,0
12,36.11048089110076,-115.1408408473164,0
13,36.11049974300101,-115.140723133171,0
14,36.11056281687627,-115.1406629795535,0
15,36.11057117437561,-115.1405505157949,0
16,36.11063054508509,-115.1405287491814,0
