,latitude,longitude,altitude_relative_to_ground
0,36.10971101425761,-115.1405409396816,0
1,36.10970015243502,-115.1406432326068,0
2,36.10969706191974,-115.1408146993647,0
3,36.10977110418745,-115.1408708530396,0
4,36.10983979146811,-115.1408703263313,0
5,36.10993531343204,-115.1408736546941,0
6,36.11000104458314,-115.1408717435858,0
7,36.11008773698626,-115.1408852901421,0
8,36.11014891807964,-115.1409183824534,0
9,36.11024822386361,-115.1409454066597,0
10,36.1103311180153,-115.1409367143526,0
11,36.11042607724377,-115.1409130732488,0
12,36.1105391126616,-115.1409230879001,0
13,36.11061929699753,-115.1409136334149,0
14,36.11068381691774,-115.1408747871116,0
15,36.11076295345757,-115.1408614954357,0
16,36.11082738123713,-115.140843606365,0
17,36.11091500641589,-115.1408392692408,0
18,36.11100287473422,-115.140869180839,0
19,36.11110540385458,-115.1408512134155,0
20,36.11120463231625,-115.1408486706203,0
21,36.11122462902325,-115.1409634625679,0
22,36.11121410805169,-115.1410708257829,0
23,36.11120896331979,-115.1412103835814,0
24,36.11120453746464,-115.1413978236378,0
25,36.11118909604029,-115.1416245107213,0
26,36.11118030728509,-115.1417995768816,0
27,36.11117373225743,-115.1419718057914,0
28,36.11116498749973,-115.1421324209959,0
