,latitude,longitude,altitude_relative_to_ground
0,36.1098938621996,-115.1408690853584,0
1,36.10993178433706,-115.140871713412,0
2,36.10996816144998,-115.1408756872484,0
3,36.11001196517206,-115.1408772700682,0
4,36.11005437786634,-115.1408817039778,0
5,36.11008285993982,-115.1409002844525,0
6,36.11011606193365,-115.1409302200396,0
7,36.11016288846638,-115.1409449765952,0
8,36.11020225078855,-115.1409405788584,0
9,36.11025017796519,-115.1409335169188,0
10,36.11029329559425,-115.1409257545448,0
11,36.11035042703013,-115.1409203836459,0
12,36.11041122940435,-115.1409232834832,0
13,36.11044843039741,-115.1409007758304,0
14,36.11043990507649,-115.1408329424049,0
15,36.11044672184875,-115.1407658782201,0
16,36.11044843014666,-115.140666476137,0
17,36.11045356537455,-115.1406344022707,0
18,36.1105057647169,-115.1406356348961,0
19,36.11054144221981,-115.1406370542719,0
20,36.11054685600282,-115.1405746104374,0
21,36.11055409999528,-115.1405171091979,0
22,36.11060938001294,-115.1405165686108,0
23,36.11063386791691,-115.1405226616961,0
