,name,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7,latitude_8,longitude_8,latitude_9,longitude_9,latitude_10,longitude_10,latitude_11,longitude_11,latitude_12,longitude_12,latitude_13,longitude_13,latitude_14,longitude_14,latitude_15,longitude_15,latitude_16,longitude_16,latitude_17,longitude_17,latitude_18,longitude_18,latitude_19,longitude_19,latitude_20,longitude_20,enter-parking
0,1_A_Missed,36.10964044850949,-115.1409454520928,36.10967588405857,-115.1408934601999,36.10971035826778,-115.1408700649128,36.10976177924393,-115.140860062512,36.10982152438753,-115.1408601338911,36.10987080929289,-115.1408621570113,36.10993436049677,-115.140873916784,36.10999607027711,-115.1408904591239,36.11008677435618,-115.1409072542203,36.11017384361086,-115.1409371680017,36.11023517505014,-115.1409377349191,36.11030765570357,-115.1409329243835,36.11039572431761,-115.140926086209,36.11046456010228,-115.1409229717107,36.11054295224337,-115.1409211730147,36.11061107718338,-115.1409228772388,36.11064084036867,-115.1409440479404,36.11066036498357,-115.1409830713834,36.11068371459137,-115.1410250421988,36.11071286980518,-115.1410554759141,0
1,2_A_Missed,36.10970464351194,-115.140733334878,36.10970163359195,-115.1407854386489,36.10969862984853,-115.1408411657839,36.10974124991275,-115.1408567097364,36.10981404998068,-115.1408777189696,36.10989908421438,-115.140870828895,36.10998180042402,-115.1408689839439,36.11006143232164,-115.1408810037367,36.11011742151616,-115.1409143226762,36.11017130169431,-115.1409483311806,36.11023325444985,-115.1410019145761,36.11030846771659,-115.1410116698379,36.11036197227178,-115.1410186094769,36.11042414564541,-115.1410196796104,36.11045485992467,-115.141051816399,36.11047642970184,-115.1410925765455,36.11049581721795,-115.1411429487194,36.11054769471047,-115.1411897462894,36.11059076789935,-115.1411994583475,36.11065064145625,-115.141182363661,0
2,3_A_Missed,36.10962631960955,-115.1401337672326,36.10967549260702,-115.1401395172749,36.10972417861024,-115.1401662674278,36.10972988274905,-115.1402299849967,36.10971849190287,-115.1403018825961,36.1097606160734,-115.1403409184606,36.10983173625482,-115.1403679661405,36.109916228552,-115.1403812426867,36.10999148862723,-115.1404103775187,36.11004711575727,-115.1404311977843,36.11008817607313,-115.1404807202469,36.11015379794934,-115.1405159189307,36.1102118126218,-115.1405600651869,36.11026901088542,-115.1406662351965,36.11036977521083,-115.1407238048656,36.11047838097272,-115.1407899842073,36.11055490851663,-115.140896384032,36.11068559655372,-115.1409102870904,36.11080809785442,-115.1408519363,36.11100861559274,-115.1408622117765,0
3,4_A_Missed,36.10959213665919,-115.1401317075463,36.1096615052519,-115.1401592651557,36.10971581961215,-115.1402188830372,36.10971581934351,-115.1403096619543,36.10971802432942,-115.1403927933807,36.10976945909296,-115.1404301011648,36.10982696345967,-115.1404687940596,36.10989826849616,-115.140501553074,36.1099772411125,-115.1405359870987,36.11007253768715,-115.1405447424294,36.11014221535574,-115.1405569117782,36.11022273327433,-115.140579112272,36.11029756782744,-115.140685000641,36.11044276416193,-115.1407455309541,36.11052549254271,-115.1408410791488,36.11063154792389,-115.1408888384345,36.1107711657058,-115.1408606344126,36.11098108429618,-115.1408527767612,36.11116453017819,-115.1408555391005,36.11130179911504,-115.1409172878641,0
4,5_A_Missed,36.10964225576301,-115.1419013837998,36.10964948007139,-115.1417933073095,36.10965430959563,-115.1416582053886,36.10971057590159,-115.1416007004753,36.1097937643254,-115.1416186280422,36.10984565188124,-115.141545178925,36.10992024176716,-115.1414862540939,36.11003377115951,-115.1413718825355,36.11013793570709,-115.1412789939063,36.1101646655981,-115.141066512092,36.11024965687235,-115.1410611555776,36.11035354374881,-115.1410603415006,36.11044501932274,-115.1410478708838,36.11047846310072,-115.1409479394411,36.11058134089653,-115.14090568253,36.11066650827001,-115.1408855798815,36.11079554412567,-115.1408522532171,36.11095847519568,-115.1408519243803,36.11110151598156,-115.1408541814508,36.11124279092232,-115.1408922978264,0
5,6_A_Missed,36.10960737442686,-115.1416171441872,36.10966198531612,-115.1415956376378,36.10975577692894,-115.1416057301564,36.10984139591545,-115.141566351567,36.10990762842332,-115.1414942356489,36.10999580755674,-115.1414288273674,36.11004308688346,-115.1413720318561,36.11015154414441,-115.1412969548974,36.1101655696359,-115.1411712817571,36.11018624690824,-115.1410808979285,36.11021188772592,-115.1410648729027,36.11028660707301,-115.1410281403655,36.11034496318361,-115.1410635673061,36.11040338009977,-115.1410563337461,36.11044418458688,-115.1410734661013,36.11047392140979,-115.1411041727767,36.11051287488878,-115.1411465454467,36.11053660393473,-115.141175392259,36.11059157107611,-115.1411993344652,36.11065310464041,-115.1411649899877,0
6,7_A_Missed,36.10971947230283,-115.1401467534703,36.10971471518884,-115.1402485053747,36.10971709517686,-115.1403587557237,36.10971115760164,-115.1404751805619,36.10970878877394,-115.1405877041132,36.10978981292358,-115.1406791378909,36.10988201336956,-115.1407386446424,36.11000584838445,-115.140810546443,36.11012435440199,-115.1408853825943,36.11018764581937,-115.1409168732827,36.11025435981295,-115.1409309651472,36.11031047471029,-115.1409207642963,36.11035994372649,-115.1409195575929,36.11041216208631,-115.1409185220693,36.11046221700819,-115.1409200483439,36.1105099273191,-115.140928741558,36.11056742873802,-115.1409402000713,36.11061193583544,-115.1409532710877,36.11064267942055,-115.1409694326389,36.11067935649692,-115.1410083803932,0
7,8_A_Missed,36.10972011116454,-115.1401662096321,36.10971898267672,-115.1402162611707,36.10971559954228,-115.1402808216988,36.10971672880484,-115.1403736432383,36.1097201170005,-115.1404667429405,36.10974742781085,-115.1405223495124,36.10977862422251,-115.1405754792228,36.10982101722853,-115.1406347193364,36.10988023364933,-115.1406506002448,36.109945070034,-115.1406882144829,36.10999640439046,-115.140731199429,36.11002388230115,-115.1407922314057,36.11006512659907,-115.1408459015309,36.1101740703535,-115.140920406402,36.11024748869848,-115.1409527816325,36.11029785622753,-115.1409979733448,36.11038497259348,-115.1410389558239,36.11045623230767,-115.1410832207053,36.11054814672885,-115.141173201537,36.1106455984073,-115.141168623696,0
8,9_A_Missed,36.10948978520111,-115.1409306569401,36.10954138002367,-115.1409404419845,36.10958815631303,-115.1409466769372,36.10967436033481,-115.1409353684522,36.10976817508411,-115.140866123773,36.10983896058849,-115.1408677611081,36.10990865642849,-115.1408725787002,36.10997186199955,-115.140877130535,36.11003842472584,-115.1408807591914,36.11010309730219,-115.140903899306,36.1101954045956,-115.1409300566384,36.11027845943754,-115.140933726376,36.11034327728733,-115.1409192320401,36.11041004871211,-115.1409187310686,36.11046590163606,-115.1409275531909,36.11048863337323,-115.1409420085494,36.11053145663893,-115.1409499751976,36.11058017577898,-115.1409335798883,36.11064210399616,-115.1409432455702,36.11069320006911,-115.1410168775155,0
9,10_A_Missed,36.10969929464272,-115.1406357188195,36.10975576797164,-115.1406600635799,36.10979535111534,-115.140685416138,36.10984450026955,-115.1407235361787,36.10990385466075,-115.1407776349884,36.10995554266773,-115.1408280529066,36.11002518494541,-115.1408497588918,36.11008963437929,-115.1408605097807,36.11016358159311,-115.1408177882243,36.11024127534105,-115.1407833560539,36.11033252896918,-115.1407545722287,36.11042737632566,-115.1407218245589,36.11049368481346,-115.1407648645009,36.11052751541684,-115.1408539699339,36.11063027963793,-115.1408955889007,36.11071016132468,-115.1408736874446,36.1107827464004,-115.1408619991992,36.11088104424041,-115.1408358989773,36.11099544564994,-115.1408512560067,36.11115954546281,-115.1408596842845,0
10,11_A_Missed,36.10966733975352,-115.1409308653812,36.10969389255513,-115.1408955014036,36.10974190221023,-115.1408589057905,36.10981905103311,-115.1408740459498,36.1098741307964,-115.140870229474,36.10994378966855,-115.1408680221568,36.11002244600667,-115.1408845668252,36.11009672524007,-115.1408603671939,36.11016366023149,-115.140814455669,36.11024122755478,-115.1407869138645,36.11029944305868,-115.1407672130752,36.11036692367425,-115.1407367793339,36.11045251657686,-115.1407418731813,36.11050888399744,-115.1407767429216,36.11058789389151,-115.14081745985,36.1106782090065,-115.1408326576477,36.1107701256709,-115.1408096036411,36.1108747687688,-115.1407911741566,36.11099509266168,-115.1408086172979,36.11110341980482,-115.1408094163725,0
11,12_A_Missed,36.10967419344652,-115.1412906954211,36.10967615543397,-115.1412150832707,36.10968402103171,-115.1411334306048,36.10968500607922,-115.1410228627019,36.10968796420241,-115.1409518631605,36.10972879647933,-115.1408716021889,36.1098002922708,-115.1408642045011,36.10987734935714,-115.1408656793407,36.10995042897265,-115.1408663514436,36.11001104686525,-115.1408792447404,36.11007443127365,-115.1408887406529,36.11011684983086,-115.1409321743667,36.11016972796604,-115.1409460571392,36.11022253664852,-115.1409654206105,36.11028285351048,-115.1409996523573,36.11036561024932,-115.1410200252773,36.11046205530235,-115.1410104769995,36.1105186319413,-115.1409406548818,36.11061524811533,-115.1409270958405,36.11068117481187,-115.1410068454246,0
12,13_A_Missed,36.11161436668277,-115.1415875252973,36.11156727439808,-115.1415216398616,36.11152799741413,-115.141434899169,36.1114793823503,-115.1413383034262,36.11141696878538,-115.1412608843207,36.11137663207165,-115.1412144692336,36.11132964680326,-115.1411318251583,36.11130169606964,-115.1410324563423,36.11125550741014,-115.1409536896337,36.11121207986638,-115.1408584151394,36.11109321166877,-115.1408456134835,36.11103172798034,-115.1408432971613,36.1109883531043,-115.1408450282116,36.11093475785484,-115.1408498271039,36.11088184279081,-115.1408313073729,36.11083999192171,-115.1408372758416,36.11078621374872,-115.1408480800976,36.11070483470308,-115.1408679312039,36.11063890469229,-115.1409136699544,36.11067673312629,-115.141000773554,0
13,14_A_Missed,36.11116938036712,-115.1419114770853,36.11118463940849,-115.1417895097708,36.11119357549172,-115.1417085494616,36.11119741309911,-115.141564833069,36.11110550241371,-115.1413155391089,36.11120381945685,-115.141243745115,36.11121023928926,-115.141131324703,36.11121023909361,-115.1410409961107,36.11122182835149,-115.1408611523525,36.11110412060168,-115.1408430286718,36.11098721161165,-115.1408598934896,36.11087126249464,-115.1408230015161,36.11077302453969,-115.1408536469367,36.11067910416692,-115.1408702595306,36.11057073412719,-115.1409166080886,36.11048809890801,-115.140971537846,36.11037393805891,-115.1410525045607,36.11024541233983,-115.1410597807514,36.11016311981619,-115.1411362795532,36.11014905720455,-115.1412955745552,0
14,15_A_Missed,36.11124234178301,-115.1408372578287,36.11112797634689,-115.1408408283739,36.11100380665889,-115.1408518242072,36.11086463384932,-115.1408418000826,36.11073974139666,-115.1408621813952,36.11062228615709,-115.1408967528771,36.11049679168025,-115.1409211211026,36.11034422715721,-115.1409196334881,36.11024797065356,-115.1409352994361,36.11013339587272,-115.1409231576943,36.11005882370468,-115.1408883836205,36.10996593505141,-115.1408674816579,36.1098592641826,-115.14085670349,36.10978352430168,-115.1408546053177,36.10969704983538,-115.1408458039708,36.1096909492364,-115.1409000449132,36.10964250260989,-115.1409365419993,36.10958134709322,-115.1409385273983,36.10951828902665,-115.1409276357502,36.10944917123786,-115.1409108014568,0
15,16_A_Missed,36.11123952812358,-115.1408370681506,36.11113206004243,-115.1408423214812,36.11104443435768,-115.1408469684612,36.11094364406495,-115.1408522058519,36.11086173547938,-115.1408397768868,36.11077726365087,-115.1408673796168,36.11069242130884,-115.1408816643241,36.11061120099273,-115.1409083330591,36.11051039535065,-115.1408869769473,36.11047796087662,-115.1408099240693,36.11044012505677,-115.1407349871577,36.11032316966141,-115.1407543547673,36.11024164029045,-115.1407803266109,36.11016348809229,-115.1408098942334,36.11010239686243,-115.1408542317521,36.11003882455767,-115.1408858926825,36.10995785899423,-115.1408727263782,36.10987037848284,-115.1408664649121,36.10976415737244,-115.1408486150835,36.1096980784878,-115.1407133925198,0
